Indices,response_time,time_to_peak_pupil,peak_pupil,pupil_mean,pupil_slope,pupil_area_curve,blink_rate,peak_blink_duration,avg_blink_duration,fixation_count,max_fixation_duration,avg_fixation_duration,sacc_count,sacc_duration,sacc_vel,sacc_amplitude,ms_count,ms_duration,ms_vel,ms_amplitude
[14  5  0  9  6  1 15  7  8 11 22 16 26 21 29 20 18 25 24 27],0.974,0.127,0.412,0.054,1.000,0.839,1.000,0.880,0.634,1.000,0.411,0.658,0.577,0.827,0.705,0.601,1.000,0.862,0.281,0.312
[ 3  1  8  6  5 14 11  7 15  2 19 25 17 23 22 16 28 20 18 24],0.545,0.050,0.325,0.109,1.000,0.401,1.000,0.678,0.362,0.483,0.379,0.340,0.501,0.413,0.585,0.661,1.000,0.534,0.284,0.295
[ 6 14 12  3  1 10 13  2  7  9 18 26 20 17 22 29 28 21 27 19],0.682,0.456,0.036,0.017,1.000,0.571,1.000,0.634,0.608,0.829,0.687,0.324,0.739,0.821,0.746,0.710,1.000,0.635,0.325,0.335
[13  8  5  1  9  3 14 11  0  2 18 25 26 20 16 28 27 21 23 24],0.751,0.223,0.207,0.142,1.000,0.738,1.000,0.379,0.280,0.298,0.229,0.437,0.503,0.229,0.381,0.356,1.000,0.800,0.139,0.039
[ 7  4 12 14 10 11  1  8  6  9 20 25 27 26 23 21 19 24 28 16],0.602,0.274,0.069,0.295,1.000,0.820,1.000,0.146,0.159,1.000,0.358,0.482,0.775,0.929,0.464,0.425,1.000,0.666,0.433,0.458
Indices,response_time,time_to_peak_pupil,peak_pupil,pupil_mean,pupil_slope,pupil_area_curve,blink_rate,peak_blink_duration,avg_blink_duration,fixation_count,max_fixation_duration,avg_fixation_duration,sacc_count,sacc_duration,sacc_vel,sacc_amplitude,ms_count,ms_duration,ms_vel,ms_amplitude
[ 1  2  9 15  6 11 12 29 23 21 28 16 26 18],0.4566543731864696,0.10989391006369266,0.41139051218565453,0.014377360832072352,1.0,0.7261119673744729,1.0,0.8580530190703641,0.6146329063244419,0.13405424513102218,0.33207485106667156,0.42193553761413244,0.05468701778060814,0.3046281085383857,0.5646576050206726,0.5431296596659543,1.0,0.779154313242572,0.27373860308156095,0.2766428775521492
[ 2 11  8 15  7  9  6 29 25 20 22 16 28 19],0.34036701587857976,0.4622387345078047,0.2527329630819234,0.001844412055051247,1.0,0.9640891961431401,1.0,0.3018579252768433,0.41970431422179677,0.5713767035946,0.44860582630568147,0.3700498467100698,0.5135314771446204,0.2815546676197562,0.357131273279659,0.4276599821625653,1.0,0.2627306317100141,0.2544868627640093,0.2597259591566966
[ 4 15  9  5  0 13  2 17 23 21 25 18 19 29],0.23523848085626997,0.9980871166423307,0.45791848424011694,0.0221167735663598,1.0,0.37184991492137526,1.0,0.20026346855707183,0.38822726038679006,0.6199508445950875,0.45501598966304246,0.739771430289011,0.8016130630986792,0.4550951875700272,0.4178060499507942,0.4648721021642288,1.0,0.9663215961262784,0.5569847310392229,0.6677047830896896
[15 13 12 11  1 10  2 18 22 23 19 28 21 20],0.9578414823578625,0.6282046703179984,0.7409404810563184,0.06458066367198495,1.0,0.865552023367354,1.0,0.606511178215037,0.9162111030002571,0.7778517033794619,0.45871369237307535,0.411360849661898,0.9633286487692012,0.45149889287823985,0.30843651158474383,0.30925554937286315,1.0,0.9111805954887376,0.43277581107587554,0.4745806766928927
[15  3  6  5 10  2 14 20 29 25 22 17 16 18],0.5870742856961959,0.8031398942368286,0.40067468043937743,0.03699163257103369,1.0,0.8139816865654427,1.0,0.6005441475777574,0.9285194664818514,0.42519470382267116,0.27549323954923327,0.1318238467443198,0.5120620543028223,0.30641812601215473,0.23387505364203898,0.2479871638957159,1.0,0.13826085990377085,0.195044546130397,0.19819452592183517
